NAME,POSITION,AGENCY,ROLE
"DATUK JOHNNY MOSITUN, JP",PENGERUSI,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
ENCIK BOBY BIN LEWAT,PENGARAH,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
ENCIK CHUNG TAT SANG,PENGURUS BESAR,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
ENCIK RUZALIE BIN RUHIMIN,TIMBALAN PENGURUS BESAR,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
WONG PUI FUN,PENGURUS,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
MUHAMMAD SHAIFFUL ADL BIN AWANG,KETUA UNIT INTEGRITI DAN GOVERNAN,ENERGY COMMISSION OF SABAH,PESERTA
IR. TS. JEFREY NURI,KETUA JABATAN/ PENGARAH JABATAN OPERASI INDUSTRI,ENERGY COMMISSION OF SABAH,PESERTA
PUAN SITI ZELIHA BINTI MUSNEH,KETUA JABATAN / PENGARAH JABATAN KAWAL SELIA EKONOMI,ENERGY COMMISSION OF SABAH,PESERTA
MOHD ADAM BIN BOHARI,KETUA JABATAN / PENGARAH JABATAN UNDANG-UNDANG,ENERGY COMMISSION OF SABAH,PESERTA
PUAN NOOR AZEE ASHIKEEN BINTI ASNGARI,SETIAUSAHA SURUHANJAYA,ENERGY COMMISSION OF SABAH,PESERTA
JULIA MAJAIL,PENGURUS BESAR SOPIA,SABAH OIL PALM INDUSTRY AUTHORITY (SOPIA),PESERTA
MICHAEL JIMLI GUJILO,PENGURUS BESAR,LEMBAGA PEMASARAN PERTANIAN SABAH (SAMA),PESERTA
DATUK DR TS RAMLE HJ KASIN,PENGURUS BESAR LEMBAGA PADI DAN BERAS SABAH,LEMBAGA PADI DAN BERAS SABAH,PESERTA
DATUK MUSBAH BIN JAMLI,TIMBALAN PENGERUSI LEMBAGA PENGARAH,LEMBAGA PADI DAN BERAS SABAH,PESERTA
HARRY BIN IGNATIUS BEATTY,AHLI LEMBAGA PENGARAH,LEMBAGA PADI DAN BERAS SABAH,PESERTA
STACY SAMSON SOH,SETIAUSAHA EKSEKUTIF AHLI LEMBAGA PENGARAH,LEMBAGA PADI DAN BERAS SABAH,PESERTA
CECILIA AMID,GROUP CHIEF EXECUTIVE OFFICER,KKIP SDN BHD,PESERTA
DATUK AMISAH YASSIN,DEPUTY CHAIRMAN,KKIP SDN BHD,PESERTA
FAHZEAN BINTI MOHIDDIN,DIRECTOR,KKIP SDN BHD,PESERTA
YB DATUK HARUN BIN DURABI,PENGERUSI KO-NELAYAN,KORPORASI KEMAJUAN PERIKANAN DAN NELAYAN SABAH (KO-NELAYAN),PESERTA
YBHG. DATUK HAJI YUSOF BIN HAJI AG. BESAR,PENGURUS BESAR / AHLI LEMBAGA PENGARAH KO-NELAYAN,KORPORASI KEMAJUAN PERIKANAN DAN NELAYAN SABAH (KO-NELAYAN),PESERTA
ISMAIL BIN SABRAN,AHLI LEMBAGA PENGARAH KO-NELAYAN,KORPORASI KEMAJUAN PERIKANAN DAN NELAYAN SABAH (KO-NELAYAN),PESERTA
JAILIS MASARIP,PENGURUS BESAR,KORPORASI PEMBANGUNAN DESA (KPD),PESERTA
MOHD ROYZAL BIN ABDUL RAZAK,KETUA BAHAGIAN HAL EHWAL GUAMAN,KORPORASI PEMBANGUNAN DESA (KPD),PESERTA
DATUK IBRAHIM BIN LINGGAM,TIMBALAN PENGERUSI,KORPORASI PEMBANGUNAN DESA (KPD),PESERTA
DANIEL ISAAC HOONG,AHLI LEMBAGA PENGARAH,KORPORASI PEMBANGUNAN DESA (KPD),PESERTA
PUAN SYRA PETER @ P GOM,AHLI LEMBAGA PENGARAH,LEMBAGA INDUSTRI GETAH SABAH,PESERTA
"TUAN SHAHLAN BIN JUFRI, JP",AHLI LEMBAGA PENGARAH,LEMBAGA INDUSTRI GETAH SABAH,PESERTA
