NAME,POSITION,AGENCY,ROLE
"DATUK JOHNNY MOSITUN, JP",PENGERUSI,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
ENCIK BOBY BIN LEWAT,PENGARAH,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
ENCIK CHUNG TAT SANG,PENGURUS BESAR,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
ENCIK RUZALIE BIN RUHIMIN,TIMBALAN PENGURUS BESAR,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
WONG PUI FUN,PENGURUS,BORNEO DEVELOPMENT CORPORATION (S) SDN BHD,PESERTA
YBHG. DATUK TS. DR. RAMZAH DAMBUL,KETUA PEGAWAI EKSEKUTIF ,INSTITUTE FOR DEVELOPMENT STUDIES (SABAH) (IDS),PESERTA
DATUK DR TS RAMLE HJ KASIN,PENGURUS BESAR LEMBAGA PADI DAN BERAS SABAH,LEMBAGA PADI DAN BERAS,PESERTA
DATUK MUSBAH BIN JAMLI,TIMBALAN PENGERUSI LEMBAGA PENGARAH,LEMBAGA PADI DAN BERAS,PESERTA
HARRY BIN IGNATIUS BEATTY,AHLI LEMBAGA PENGARAH,LEMBAGA PADI DAN BERAS,PESERTA
STACY SAMSON SOH,SETIAUSAHA EKSEKUTIF AHLI LEMBAGA PENGARAH,LEMBAGA PADI DAN BERAS,PESERTA
DATUK SR. WONG NYUK LEONG @LIFRED TALIBAN,AHLI LEMBAGA PENGARAH ,KKIP SDN BHD,PESERTA
BENEDICT BIN MASRI,PENGURUS BESAR,KKIP SDN BHD,PESERTA
CECILIA AMID,KETUA PEGAWAI EKSEKUTIF KUMPULAN,KKIP SDN BHD,PESERTA
ROSALIA CLEMENT,PEMBANTU KHAS,KKIP SDN BHD,PESERTA
ELYSA FINI SUNDANG,PEMBANTU KHAS,KKIP SDN BHD,PESERTA
JAILIS MASARIP,PENGURUS BESAR,KORPORASI PEMBANGUNAN DESA (KPD),PESERTA
MOHD ROYZAL BIN ABDUL RAZAK,KETUA BAHAGIAN HAL EHWAL GUAMAN,KORPORASI PEMBANGUNAN DESA (KPD),PESERTA
DATUK IBRAHIM BIN LINGGAM,TIMBALAN PENGERUSI,KORPORASI PEMBANGUNAN DESA (KPD),PESERTA
DATUK JUMAIN JIKAH @ ABDUL GHANI,"SETIAUSAHA TETAP KEMENTERIAN PERTANIAN, PERIKANAN DAN INDUSTRI MAKANAN SABAH",KORPORASI PEMBANGUNAN DESA (KPD),PESERTA
PUAN SYRA PETER @ P GOM,AHLI LEMBAGA PENGARAH,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
"TUAN SHAHLAN BIN JUFRI, JP",AHLI LEMBAGA PENGARAH,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
PUAN CLARE @ CAROLYN BT TONH SIMBAT,AHLI LEMBAGA PENGARAH,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
TUAN TS. ESWADI BIN ROSLAN,PENGARAH URUSAN LIGS SOLUTIONS,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
TUAN MOHD REDZUAN BIN AWANG,AHLI LEMBAGA PENGARAH TUARAN CRUMB,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
DSP JAHID @ NOORDIN BIN JAHIM,PENGERUSI,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
TUAN ALIAMIS BIN SAMI,TIMBALAN PENGERUSI,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
DATO' THOMAS LOVILI JIMULIS,AHLI LEMBAGA PENGARAH,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
PUAN HJH JULIA BINTI LAMDIN ,AHLI LEMBAGA PENGARAH,LEMBAGA INDUSTRI GETAH SABAH (LIGS),PESERTA
